task_id,reset_seed,oracle_event,abstract_terminal,frame_canonical,frame_full,history_canonical,history_full
4,86400,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000
4,86401,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000
4,86402,1.0000,0.0000,1.0000,0.3333,1.0000,1.0000
4,86403,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000
4,86404,1.0000,0.0000,1.0000,0.3333,1.0000,1.0000
4,86405,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000
4,86406,1.0000,0.0000,1.0000,0.6667,1.0000,1.0000
4,86407,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000
4,86408,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000
4,86409,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000
4,86410,1.0000,0.0000,1.0000,0.6667,1.0000,1.0000
4,86411,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000
4,86412,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000
4,86413,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000
4,86414,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000
4,86415,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000
5,86500,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000
5,86501,1.0000,0.0000,0.0000,1.0000,1.0000,1.0000
5,86502,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,86503,1.0000,0.0000,0.0000,0.0000,0.0000,0.6667
5,86504,0.0000,0.0000,0.3333,0.0000,1.0000,1.0000
5,86505,1.0000,0.0000,0.0000,0.0000,0.3333,1.0000
5,86506,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000
5,86507,1.0000,0.0000,0.0000,1.0000,1.0000,1.0000
5,86508,1.0000,0.0000,0.6667,0.0000,1.0000,0.0000
5,86509,0.0000,0.0000,0.6667,0.0000,1.0000,0.0000
5,86510,1.0000,0.0000,0.3333,1.0000,1.0000,1.0000
5,86511,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000
5,86512,0.0000,0.0000,0.3333,0.0000,0.0000,0.3333
5,86513,1.0000,0.0000,0.6667,1.0000,0.6667,1.0000
5,86514,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000
5,86515,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000
