task_id,reset_seed,observer_seed,success,oracle_success,terminal_success,num_replans,num_q_errors,any_q_error,first_q_error_decision
4,84400,0,1,1,0,4,0,0,-1
4,84400,1,1,1,0,4,0,0,-1
4,84400,2,1,1,0,4,0,0,-1
4,84401,0,1,1,0,4,0,0,-1
4,84401,1,1,1,0,4,0,0,-1
4,84401,2,1,1,0,4,0,0,-1
4,84402,0,1,1,0,4,0,0,-1
4,84402,1,1,1,0,4,0,0,-1
4,84402,2,1,1,0,4,0,0,-1
4,84403,0,1,1,0,4,0,0,-1
4,84403,1,1,1,0,4,0,0,-1
4,84403,2,1,1,0,4,0,0,-1
4,84404,0,1,1,0,4,0,0,-1
4,84404,1,1,1,0,4,0,0,-1
4,84404,2,1,1,0,4,0,0,-1
4,84405,0,1,1,0,4,0,0,-1
4,84405,1,1,1,0,4,0,0,-1
4,84405,2,1,1,0,4,0,0,-1
4,84406,0,1,1,0,4,0,0,-1
4,84406,1,1,1,0,4,0,0,-1
4,84406,2,1,1,0,4,0,0,-1
4,84407,0,0,1,0,6,3,1,3
4,84407,1,0,1,0,6,3,1,3
4,84407,2,0,1,0,6,3,1,3
4,84408,0,1,1,0,4,0,0,-1
4,84408,1,1,1,0,4,0,0,-1
4,84408,2,1,1,0,4,0,0,-1
4,84409,0,1,1,0,4,0,0,-1
4,84409,1,1,1,0,4,0,0,-1
4,84409,2,1,1,0,4,0,0,-1
4,84410,0,1,1,0,4,0,0,-1
4,84410,1,1,1,0,4,0,0,-1
4,84410,2,1,1,0,4,0,0,-1
4,84411,0,1,1,0,4,0,0,-1
4,84411,1,1,1,0,4,0,0,-1
4,84411,2,1,1,0,4,0,0,-1
4,84412,0,1,1,0,4,0,0,-1
4,84412,1,1,1,0,4,0,0,-1
4,84412,2,1,1,0,4,0,0,-1
4,84413,0,1,1,0,4,0,0,-1
4,84413,1,1,1,0,4,0,0,-1
4,84413,2,1,1,0,4,0,0,-1
4,84414,0,1,1,0,4,0,0,-1
4,84414,1,1,1,0,4,0,0,-1
4,84414,2,1,1,0,4,0,0,-1
4,84415,0,1,1,0,4,0,0,-1
4,84415,1,1,1,0,4,0,0,-1
4,84415,2,1,1,0,4,0,0,-1
4,84416,0,1,1,0,4,0,0,-1
4,84416,1,1,1,0,4,0,0,-1
4,84416,2,1,1,0,4,0,0,-1
4,84417,0,1,1,0,4,0,0,-1
4,84417,1,1,1,0,4,0,0,-1
4,84417,2,1,1,0,4,0,0,-1
4,84418,0,1,1,0,4,0,0,-1
4,84418,1,1,1,0,4,0,0,-1
4,84418,2,1,1,0,4,0,0,-1
4,84419,0,1,1,0,4,0,0,-1
4,84419,1,1,1,0,4,0,0,-1
4,84419,2,1,1,0,4,0,0,-1
4,84420,0,0,1,0,6,3,1,3
4,84420,1,0,1,0,6,3,1,3
4,84420,2,0,1,0,6,3,1,3
4,84421,0,1,1,0,4,0,0,-1
4,84421,1,1,1,0,4,0,0,-1
4,84421,2,1,1,0,4,0,0,-1
4,84422,0,1,1,0,4,0,0,-1
4,84422,1,1,1,0,4,0,0,-1
4,84422,2,1,1,0,4,0,0,-1
4,84423,0,1,1,0,4,0,0,-1
4,84423,1,1,1,0,4,0,0,-1
4,84423,2,1,1,0,4,0,0,-1
4,84424,0,1,1,0,4,0,0,-1
4,84424,1,1,1,0,4,0,0,-1
4,84424,2,1,1,0,4,0,0,-1
4,84425,0,1,1,0,4,0,0,-1
4,84425,1,1,1,0,4,0,0,-1
4,84425,2,1,1,0,4,0,0,-1
4,84426,0,1,1,0,4,0,0,-1
4,84426,1,1,1,0,4,0,0,-1
4,84426,2,1,1,0,4,0,0,-1
4,84427,0,1,1,0,4,0,0,-1
4,84427,1,1,1,0,4,0,0,-1
4,84427,2,1,1,0,4,0,0,-1
4,84428,0,1,1,0,4,0,0,-1
4,84428,1,1,1,0,4,0,0,-1
4,84428,2,1,1,0,4,0,0,-1
4,84429,0,1,1,0,5,1,1,3
4,84429,1,1,1,0,5,1,1,3
4,84429,2,1,1,0,5,1,1,3
4,84430,0,1,1,0,4,0,0,-1
4,84430,1,1,1,0,4,0,0,-1
4,84430,2,1,1,0,4,0,0,-1
4,84431,0,1,1,0,4,0,0,-1
4,84431,1,1,1,0,4,0,0,-1
4,84431,2,1,1,0,4,0,0,-1
4,84432,0,1,1,0,4,0,0,-1
4,84432,1,1,1,0,4,0,0,-1
4,84432,2,1,1,0,4,0,0,-1
4,84433,0,1,1,0,4,0,0,-1
4,84433,1,1,1,0,4,0,0,-1
4,84433,2,1,1,0,4,0,0,-1
4,84434,0,1,1,0,4,0,0,-1
4,84434,1,1,1,0,4,0,0,-1
4,84434,2,1,1,0,4,0,0,-1
4,84435,0,0,1,0,6,3,1,3
4,84435,1,0,1,0,6,3,1,3
4,84435,2,0,1,0,6,3,1,3
4,84436,0,1,1,0,4,0,0,-1
4,84436,1,1,1,0,4,0,0,-1
4,84436,2,1,1,0,4,0,0,-1
4,84437,0,1,1,0,4,0,0,-1
4,84437,1,1,1,0,4,0,0,-1
4,84437,2,1,1,0,4,0,0,-1
4,84438,0,1,1,0,4,0,0,-1
4,84438,1,1,1,0,4,0,0,-1
4,84438,2,1,1,0,4,0,0,-1
4,84439,0,1,1,0,4,0,0,-1
4,84439,1,1,1,0,4,0,0,-1
4,84439,2,1,1,0,4,0,0,-1
4,84440,0,1,1,0,4,0,0,-1
4,84440,1,0,1,0,6,3,1,3
4,84440,2,1,1,0,4,0,0,-1
4,84441,0,1,1,0,4,0,0,-1
4,84441,1,1,1,0,4,0,0,-1
4,84441,2,1,1,0,4,0,0,-1
4,84442,0,1,1,0,4,0,0,-1
4,84442,1,1,1,0,4,0,0,-1
4,84442,2,1,1,0,4,0,0,-1
4,84443,0,1,1,0,4,0,0,-1
4,84443,1,1,1,0,4,0,0,-1
4,84443,2,1,1,0,4,0,0,-1
4,84444,0,1,1,0,4,0,0,-1
4,84444,1,1,1,0,4,0,0,-1
4,84444,2,1,1,0,4,0,0,-1
4,84445,0,1,1,0,4,0,0,-1
4,84445,1,1,1,0,4,0,0,-1
4,84445,2,1,1,0,4,0,0,-1
4,84446,0,1,1,0,4,0,0,-1
4,84446,1,1,1,0,4,0,0,-1
4,84446,2,1,1,0,4,0,0,-1
4,84447,0,1,1,0,4,0,0,-1
4,84447,1,1,1,0,4,0,0,-1
4,84447,2,1,1,0,4,0,0,-1
4,84448,0,1,1,0,4,0,0,-1
4,84448,1,1,1,0,4,0,0,-1
4,84448,2,1,1,0,4,0,0,-1
4,84449,0,1,1,0,4,0,0,-1
4,84449,1,1,1,0,4,0,0,-1
4,84449,2,1,1,0,4,0,0,-1
4,84450,0,1,1,0,4,0,0,-1
4,84450,1,1,1,0,4,0,0,-1
4,84450,2,1,1,0,4,0,0,-1
4,84451,0,1,1,0,4,0,0,-1
4,84451,1,1,1,0,4,0,0,-1
4,84451,2,1,1,0,4,0,0,-1
4,84452,0,1,1,0,4,0,0,-1
4,84452,1,1,1,0,4,0,0,-1
4,84452,2,1,1,0,4,0,0,-1
4,84453,0,1,1,0,4,0,0,-1
4,84453,1,1,1,0,4,0,0,-1
4,84453,2,1,1,0,4,0,0,-1
4,84454,0,1,1,0,4,0,0,-1
4,84454,1,1,1,0,4,0,0,-1
4,84454,2,1,1,0,4,0,0,-1
4,84455,0,1,1,0,4,0,0,-1
4,84455,1,1,1,0,4,0,0,-1
4,84455,2,1,1,0,4,0,0,-1
4,84456,0,1,1,0,4,0,0,-1
4,84456,1,1,1,0,4,0,0,-1
4,84456,2,1,1,0,4,0,0,-1
4,84457,0,1,1,0,4,0,0,-1
4,84457,1,1,1,0,4,0,0,-1
4,84457,2,1,1,0,4,0,0,-1
4,84458,0,1,1,0,4,0,0,-1
4,84458,1,1,1,0,4,0,0,-1
4,84458,2,1,1,0,4,0,0,-1
4,84459,0,1,1,0,4,0,0,-1
4,84459,1,1,1,0,4,0,0,-1
4,84459,2,1,1,0,4,0,0,-1
4,84460,0,1,1,0,4,0,0,-1
4,84460,1,1,1,0,4,0,0,-1
4,84460,2,1,1,0,4,0,0,-1
4,84461,0,1,1,0,4,0,0,-1
4,84461,1,1,1,0,4,0,0,-1
4,84461,2,1,1,0,4,0,0,-1
4,84462,0,1,1,0,4,0,0,-1
4,84462,1,1,1,0,4,0,0,-1
4,84462,2,1,1,0,4,0,0,-1
4,84463,0,1,1,0,4,0,0,-1
4,84463,1,1,1,0,4,0,0,-1
